VG_1600658,vg_000002358438.npz,"['Where', 'is', 'the', 'g', '@@##ira', '@@##ffe', 'looking', '@@?']",at camera,"['Where', 'is', 'the', '[MASK]', 'looking', '@@?']",at camera,"['Where', 'is', 'the', 'girl', 'looking', '@@?']",giraffe
VG_1808290,vg_000002368710.npz,"['What', 'is', 's', '@@##tic', '@@##ling', 'up', 'from', 'the', 'horse', ""@@'"", '@@s', 'head', '@@?']",rope,"['What', 'is', '[MASK]', 'up', 'from', 'the', '[MASK]', 'head', '@@?']",ears,"['What', 'is', 'sticking', 'up', 'from', 'the', 'horses', 'head', '@@?']",hair
182339001,coco_val2014_000000182339.npz,"['What', 'is', 'the', 'brand', 'written', 'on', 'the', 'f', '@@##ris', '@@##bee', '@@?']",nike,"['What', 'is', 'the', 'brand', 'written', 'on', 'the', '[MASK]', '@@?']",nike,"['What', 'is', 'the', 'brand', 'written', 'on', 'the', 'wall', '@@?']",samsung
87933003,coco_train2014_000000087933.npz,"['Why', 'isn', ""@@'"", '@@t', 'the', 'woman', 'scared', '@@?']",yes,"['Why', '[MASK]', 'the', 'woman', 'scared', '@@?']",bear,"['Why', 'is', 'the', 'woman', 'scared', '@@?']",snow
VG_624865,vg_000002373248.npz,"['What', 'color', 'is', 'the', 'f', '@@##ris', '@@##bee', '@@?']",white,"['What', 'color', 'is', 'the', '[MASK]', '@@?']",white,"['What', 'color', 'is', 'the', 'grass', '@@?']",green
VG_438408,vg_000002366237.npz,"['What', 'is', 'reflecting', 'the', 'man', ""@@'"", '@@s', 'image', '@@?']",truck,"['What', 'is', 'reflecting', 'the', '[MASK]', 'image', '@@?']",mirror,"['What', 'is', 'reflecting', 'the', 'man', 'image', '@@?']",truck
VG_1727541,vg_000002364728.npz,"['What', 'object', 'is', 'behind', 'the', 'g', '@@##ira', '@@##ffe', '@@##s', '@@?']",rocks,"['What', 'object', 'is', 'behind', 'the', '[MASK]', '@@?']",tree,"['What', 'object', 'is', 'behind', 'the', 'rocks', '@@?']",fence
VG_1159154,vg_000002405383.npz,"['What', 'color', 'are', 'the', 'tall', 'sky', '@@##scraper', '@@##s', '@@?']",black,"['What', 'color', 'are', 'the', 'tall', '[MASK]', '@@?']",gray,"['What', 'color', 'are', 'the', 'tall', 'buildings', '@@?']",black
VG_387651,vg_000002349978.npz,"['What', 'is', 'the', 'g', '@@##ira', '@@##ffe', 'standing', 'in', 'front', 'of', '@@?']",building,"['What', 'is', 'the', '[MASK]', 'standing', 'in', 'front', 'of', '@@?']",door,"['What', 'is', 'the', 'animal', 'standing', 'in', 'front', 'of', '@@?']",building
VG_1426281,vg_000002390798.npz,"['Where', 'are', 'the', 'cat', ""@@'"", '@@s', 'eyes', 'seen', '@@?']",mirror,"['Where', 'are', 'the', '[MASK]', 'eyes', 'seen', '@@?']",mirror,"['Where', 'are', 'the', 'green', 'eyes', 'seen', '@@?']",cat
535808010,coco_val2014_000000535808.npz,"['Is', 'the', 'kicks', '@@##tan', '@@##d', 'down', '@@?']",yes,"['Is', 'the', '[MASK]', 'down', '@@?']",no,"['Is', 'the', 'pedal', 'down', '@@?']",yes
VG_580904,vg_000002348292.npz,"['What', 'is', 'behind', 'the', 'g', '@@##ira', '@@##ffe', '@@?']",tree,"['What', 'is', 'behind', 'the', '[MASK]', '@@?']",trees,"['What', 'is', 'behind', 'the', 'trees', '@@?']",building
377832004,coco_val2014_000000377832.npz,"['What', 'car', 'is', 's', '@@##tra', '@@##ddling', 'the', 'two', 'lanes', '@@?']",police,"['What', 'car', 'is', '[MASK]', 'the', 'two', 'lanes', '@@?']",police,"['What', 'car', 'is', 'crossing', 'the', 'two', 'lanes', '@@?']",white
VG_1068506,vg_000002408831.npz,"['What', 'color', 'is', 'the', 'bear', ""@@'"", '@@s', 'eyes', '@@?']",black,"['What', 'color', 'is', 'the', '[MASK]', 'eyes', '@@?']",brown,"['What', 'color', 'is', 'the', 'bears', 'eyes', '@@?']",black
379357004,coco_train2014_000000379357.npz,"['What', 'color', 'is', 'the', 'tea', 'k', '@@##ett', '@@##le', '@@?']",silver,"['What', 'color', 'is', 'the', 'tea', '[MASK]', '@@?']",white,"['What', 'color', 'is', 'the', 'tea', 'pot', '@@?']",gold
291686004,coco_val2014_000000291686.npz,"['What', 'type', 'of', 'u', '@@##tens', '@@##il', 'is', 'in', 'the', 'person', ""@@'"", '@@s', 'hand', '@@?']",fork,"['What', 'type', 'of', '[MASK]', 'is', 'in', 'the', '[MASK]', 'hand', '@@?']",fork,"['What', 'type', 'of', 'fork', 'is', 'in', 'the', 'other', 'hand', '@@?']",metal
69411001,coco_val2014_000000069411.npz,"['How', 'many', 'snow', '@@##board', '@@##ers', 'are', 'standing', 'up', 'in', 'this', 'picture', '@@?']",3,"['How', 'many', '[MASK]', 'are', 'standing', 'up', 'in', 'this', 'picture', '@@?']",1,"['How', 'many', 'people', 'are', 'standing', 'up', 'in', 'this', 'picture', '@@?']",0
VG_766844,vg_000002355726.npz,"['What', 'color', 'is', 'the', 'beds', '@@##p', '@@##read', '@@?']",white,"['What', 'color', 'is', 'the', '[MASK]', '@@?']",white,"['What', 'color', 'is', 'the', 'pillow', '@@?']",black
394441001,coco_train2014_000000394441.npz,"['Can', 'you', 'see', 'the', 'whole', 'g', '@@##ira', '@@##ffe', '@@?']",no,"['Can', 'you', 'see', 'the', 'whole', '[MASK]', '@@?']",no,"['Can', 'you', 'see', 'the', 'whole', 'animal', '@@?']",yes
VG_1189252,vg_000002406623.npz,"['How', 'many', 'z', '@@##eb', '@@##ras', 'are', 'there', '@@?']",1,"['How', 'many', '[MASK]', 'are', 'there', '@@?']",1,"['How', 'many', 'trees', 'are', 'there', '@@?']",3
298535005,coco_train2014_000000298535.npz,"['How', 'many', 'r', '@@##adi', '@@##shes', 'is', 'on', 'the', 'cutting', 'board', '@@?']",5,"['How', 'many', '[MASK]', 'is', 'on', 'the', 'cutting', 'board', '@@?']",3,"['How', 'many', 'vegetables', 'is', 'on', 'the', 'cutting', 'board', '@@?']",5
251121012,coco_train2014_000000251121.npz,"['What', 'is', 'in', 'the', 'silver', 'ram', '@@##ek', '@@##in', '@@?']",sauce,"['What', 'is', 'in', 'the', 'silver', '[MASK]', '@@?']",sauce,"['What', 'is', 'in', 'the', 'silver', 'cup', '@@?']",coffee
VG_1292692,vg_000002403920.npz,"['What', 'colour', 'is', 'the', 'man', ""@@'"", '@@s', 'shirt', '@@?']",brown,"['What', 'colour', 'is', 'the', '[MASK]', 'shirt', '@@?']",brown,"['What', 'colour', 'is', 'the', 'brown', 'shirt', '@@?']",black
VG_357715,vg_000002387398.npz,"['What', 'color', 'is', 'the', 'man', ""@@'"", '@@s', 'surf', 'board', '@@?']",white,"['What', 'color', 'is', 'the', '[MASK]', 'surf', 'board', '@@?']",white,"['What', 'color', 'is', 'the', 'white', 'surf', 'board', '@@?']",orange
VG_994940,vg_000000107910.npz,"['What', 'color', 'are', 'the', 'flowers', 'on', 'the', 'woman', ""@@'"", '@@s', 'shirt', '@@?']",pink,"['What', 'color', 'are', 'the', 'flowers', 'on', 'the', '[MASK]', 'shirt', '@@?']",pink,"['What', 'color', 'are', 'the', 'flowers', 'on', 'the', 'pink', 'shirt', '@@?']",yellow
303387021,coco_train2014_000000303387.npz,"['What', 'color', 'is', 'the', 'fire', 'h', '@@##yd', '@@##rant', '@@?']",orange,"['What', 'color', 'is', 'the', 'fire', '[MASK]', '@@?']",orange,"['What', 'color', 'is', 'the', 'fire', 'plug', '@@?']",red
VG_1399611,vg_000002398281.npz,"['What', ""@@'"", '@@s', 'the', 'primary', 'color', 'of', 'the', 'skater', ""@@'"", '@@s', 'shirt', '@@?']",red,"['[MASK]', 'the', 'primary', 'color', 'of', 'the', '[MASK]', 'shirt', '@@?']",red,"['red', 'the', 'primary', 'color', 'of', 'the', 'red', 'shirt', '@@?']",white
VG_1890511,vg_000002372701.npz,"['What', 'do', 'the', 'white', 'w', '@@##his', '@@##kers', 'belong', 'to', '@@?']",cat,"['What', 'do', 'the', 'white', '[MASK]', 'belong', 'to', '@@?']",cat,"['What', 'do', 'the', 'white', 'cats', 'belong', 'to', '@@?']",house
VG_1224232,vg_000002400545.npz,"['What', 'is', 'on', 'the', 'woman', ""@@'"", '@@s', 'head', '@@?']",hat,"['What', 'is', 'on', 'the', '[MASK]', 'head', '@@?']",helmet,"['What', 'is', 'on', 'the', 'girls', 'head', '@@?']",hat
511670002,coco_train2014_000000511670.npz,"['What', 'color', 'is', 'the', 'man', ""@@'"", '@@s', 'shirt', '@@?']",white,"['What', 'color', 'is', 'the', '[MASK]', 'shirt', '@@?']",white,"['What', 'color', 'is', 'the', 'white', 'shirt', '@@?']",yellow
VG_916590,vg_000002317470.npz,"['Where', 'is', 'the', 'z', '@@##eb', '@@##ra', '@@?']",in field,"['Where', 'is', 'the', '[MASK]', '@@?']",in field,"['Where', 'is', 'the', 'grass', '@@?']",on ground
VG_388855,vg_000002348478.npz,"['How', 'many', 'skate', '@@##board', '@@##ers', 'are', 'there', '@@?']",1,"['How', 'many', '[MASK]', 'are', 'there', '@@?']",1,"['How', 'many', 'trees', 'are', 'there', '@@?']",8
VG_1957709,vg_000002376011.npz,"['What', 'is', 'chasing', 'the', 'f', '@@##ris', '@@##bee', '@@?']",dog,"['What', 'is', 'chasing', 'the', '[MASK]', '@@?']",dog,"['What', 'is', 'chasing', 'the', 'dog', '@@?']",frisbee
VG_700665,vg_000002358471.npz,"['What', 'color', 'are', 'the', 'player', ""@@'"", '@@s', 'shorts', '@@?']",white,"['What', 'color', 'are', 'the', '[MASK]', 'shorts', '@@?']",white,"['What', 'color', 'are', 'the', 'white', 'shorts', '@@?']",blue
9112005,coco_train2014_000000009112.npz,"['Is', 'a', 'man', 'running', 'with', 'a', 'Fr', '@@##is', '@@##bee', '@@?']",no,"['Is', 'a', 'man', 'running', 'with', 'a', '[MASK]', '@@?']",no,"['Is', 'a', 'man', 'running', 'with', 'a', 'bird', '@@?']",yes
223992003,coco_train2014_000000223992.npz,"['What', 'color', 'is', 'the', 'man', 'on', 'the', 'right', ""@@'"", '@@s', 'shirt', '@@?']",orange,"['What', 'color', 'is', 'the', 'man', 'on', 'the', '[MASK]', 'shirt', '@@?']",orange,"['What', 'color', 'is', 'the', 'man', 'on', 'the', 'orange', 'shirt', '@@?']",white
VG_890431,vg_000002320740.npz,"['What', 'color', 'is', 'the', 'man', '@@##s', 't', '@@-', '@@shirt', '@@?']",white,"['What', 'color', 'is', 'the', 'man', '##s', '[MASK]', '@@?']",white,"['What', 'color', 'is', 'the', 'man', '##s', 'shorts', '@@?']",blue
12570001,coco_val2014_000000012570.npz,"['Does', 'the', 'person', 'who', 'lives', 'here', 'have', 'a', 'p', '@@##eanut', 'all', '@@##er', '@@##gy', '@@?']",yes,"['Does', 'the', 'person', 'who', 'lives', 'here', 'have', 'a', 'p', '##eanut', '[MASK]', '@@?']",no,"['Does', 'the', 'person', 'who', 'lives', 'here', 'have', 'a', 'p', '##eanut', 'butter', '@@?']",yes
288659000,coco_train2014_000000288659.npz,"['How', 'many', 'white', 'stripes', 'are', 'on', 'the', 'boy', ""@@'"", '@@s', 'left', 'sleeve', '@@?']",3,"['How', 'many', 'white', 'stripes', 'are', 'on', 'the', '[MASK]', 'left', 'sleeve', '@@?']",2,"['How', 'many', 'white', 'stripes', 'are', 'on', 'the', 'boys', 'left', 'sleeve', '@@?']",3
VG_1688062,vg_000002362767.npz,"['What', 'are', 'the', 'dough', '@@##nut', '@@##s', 'in', 'the', 'back', 'in', '@@?']",box,"['What', 'are', 'the', '[MASK]', 'in', 'the', 'back', 'in', '@@?']",box,"['What', 'are', 'the', 'boxes', 'in', 'the', 'back', 'in', '@@?']",boxes
10219005,coco_val2014_000000010219.npz,"['Is', 'this', 'dog', 'carrying', 'a', 'f', '@@##ris', '@@##bee', 'in', 'it', ""@@'"", '@@s', 'mouth', '@@?']",yes,"['Is', 'this', 'dog', 'carrying', 'a', '[MASK]', 'in', '[MASK]', 'mouth', '@@?']",no,"['Is', 'this', 'dog', 'carrying', 'a', 'toy', 'in', 'his', 'mouth', '@@?']",yes
VG_494204,vg_000002376715.npz,"['What', 'color', 'is', 'the', 'man', 'in', 'the', 'photo', ""@@'"", '@@s', 'tie', '@@?']",black,"['What', 'color', 'is', 'the', 'man', 'in', 'the', '[MASK]', 'tie', '@@?']",black,"['What', 'color', 'is', 'the', 'man', 'in', 'the', 'black', 'tie', '@@?']",white
VG_1303786,vg_000002404404.npz,"['What', 'is', 'the', 'main', 'color', 'of', 'the', 'man', ""@@'"", '@@s', 'wrist', '@@##band', '@@?']",red,"['What', 'is', 'the', 'main', 'color', 'of', 'the', '[MASK]', 'wrist', '##band', '@@?']",red,"['What', 'is', 'the', 'main', 'color', 'of', 'the', 'red', 'wrist', '##band', '@@?']",white
578362001,coco_val2014_000000578362.npz,"['What', 'o', '@@##bs', '@@##truct', '@@##s', 'the', 'view', 'of', 'the', 'mountain', '@@?']",clouds,"['What', '[MASK]', 'the', 'view', 'of', 'the', 'mountain', '@@?']",clouds,"['What', 'is', 'the', 'view', 'of', 'the', 'mountain', '@@?']",fog
VG_1270783,vg_000002402888.npz,"['What', 'is', 'on', 'the', 'man', ""@@'"", '@@s', 'head', '@@?']",hat,"['What', 'is', 'on', 'the', '[MASK]', 'head', '@@?']",hat,"['What', 'is', 'on', 'the', 'horses', 'head', '@@?']",bridle
225456004,coco_val2014_000000225456.npz,"['What', 'color', 'are', 'the', 'cats', 'w', '@@##his', '@@##kers', '@@?']",white,"['What', 'color', 'are', 'the', 'cats', '[MASK]', '@@?']",black,"['What', 'color', 'are', 'the', 'cats', 'eyes', '@@?']",yellow
485368004,coco_val2014_000000485368.npz,"['What', 'u', '@@##tens', '@@##il', 'is', 'laying', 'next', 'to', 'the', 'bread', '@@?']",knife,"['What', '[MASK]', 'is', 'laying', 'next', 'to', 'the', 'bread', '@@?']",scissors,"['What', 'tool', 'is', 'laying', 'next', 'to', 'the', 'bread', '@@?']",knife
542202005,coco_train2014_000000542202.npz,"['Is', 'this', 'a', 'juvenile', ""@@'"", '@@s', 'room', '@@?']",no,"['Is', 'this', 'a', '[MASK]', 'room', '@@?']",yes,"['Is', 'this', 'a', 'hotel', 'room', '@@?']",no
567740005,coco_val2014_000000567740.npz,"['What', 'color', 'is', 'the', 'person', 'on', 'the', 'right', ""@@'"", '@@s', 'hat', '@@?']",white,"['What', 'color', 'is', 'the', 'person', 'on', 'the', '[MASK]', 'hat', '@@?']",white,"['What', 'color', 'is', 'the', 'person', 'on', 'the', 'white', 'hat', '@@?']",red
385724004,coco_train2014_000000385724.npz,"['What', 'color', 'is', 'the', 'man', 'in', 'the', 'middle', ""@@'"", '@@s', 'shoes', '@@?']",green,"['What', 'color', 'is', 'the', 'man', 'in', 'the', '[MASK]', 'shoes', '@@?']",green,"['What', 'color', 'is', 'the', 'man', 'in', 'the', 'green', 'shoes', '@@?']",white
